index,respondent_id,date_created,NPS,Comentario,Sucursal,Mes - Año,Clasificacion_NPS
0,114559953780,2024-03-22,3,Dejen de pedir el dni en las encuestas. No lo necesitan emy es invasivo.,Barrio Norte,03-2024,Pasivo
2,114558975890,2024-03-21,3,"Me gusta ir al gimnasio, pero lo encuentro muy desordenado y la gente no cuida el equipo.     Cuando llego a las 7 de la mañana, todo el equipo está tirado afuera. Las colchonetas no se llevan adentro, por lo que si llueve, se empapan.     Además, a veces es muy difícil encontrar equipo cuando las cosas no se devuelven a su lugar.     Sería bueno fomentar una cultura de que si usas algo, debes devolverlo a su lugar. Y sería bueno tener personal durante todo el día para ayudar a mantener las cosas organizadas y cuidar el equipo.",Barrio Norte,03-2024,Pasivo
5,114558054710,2024-03-20,3,Porque el gimnasio mantiene un poco desorganizado ,Barrio Norte,03-2024,Pasivo
7,114554742648,2024-03-16,5,Buenas máquinas y buen ambiente. ,Cid Campeador,03-2024,Promotor
8,118558256376,2024-03-13,5,Por el trato y cuidado recibido,Flores,03-2024,Promotor
10,114554763330,2024-03-16,2,Fui por musculacionpero no encontre ayuda en los profes: la clase de spinun por video en mi caso no me sirvio y  no me gusta,Caballito 2,03-2024,Detractor
11,114432314547,2023-10-09,5,Son muy buenos y accesibles,Barrio Norte,10-2023,Promotor
13,114434496303,2023-10-11,3,es muy chico el espacio y siempre hay mucha gente,Flores,10-2023,Pasivo
15,118558570806,2024-03-14,3,Tiene buenas máquinas y espacio limpio pero se llena demasiado y la cuota subió mucho. ,Flores,03-2024,Pasivo
16,114649663769,2024-07-22,2,"En verano es imposible entrenar, los instructores no ordenan el lugar, solo usan el celular o hablan",Palermo,07-2024,Detractor
18,118427288148,2023-09-25,5,"Variedad de actividades que ofrece. La calidad del personal del club, incluidos los entrenadores y el personal de apoyo,profesionales capacitados que puedan ayudarlos a mejorar su rendimiento Ambiente amigable y acogedor",Punta Carretas,09-2023,Promotor
21,118649707606,2024-07-17,5,Buenas clases ,Barrio Norte,07-2024,Promotor
22,118427234850,2023-09-25,4,los grupos estan muy llenos,Punta Carretas,09-2023,Promotor
23,114552291637,2024-03-13,4,"Las instalaciones, los horarios.",Punta Carretas,03-2024,Promotor
25,114557882221,2024-03-20,3,No hay lugar para clases como funcional Cuando te dan una sala tenes que entrar y salir corriendo No hay ni 5 minutos entre clase y clase,Adrogue,03-2024,Pasivo
28,114554714953,2024-03-16,5,Son buenos gimnasios ,Abasto,03-2024,Promotor
32,114554849562,2024-03-16,3,Falta agua fresca siempre,Congreso,03-2024,Pasivo
33,114434711900,2023-10-11,4,bien pero los cursos no están demasiado centrados en las piernas,Hollywood,10-2023,Promotor
37,118561367355,2024-03-18,5,Porque me gusta y tiene lo que necesito ,Almagro,03-2024,Promotor
40,114554723945,2024-03-16,5,Está todo muy ordenado y lindo.  La sede Cid Campeador tiene lugar para entrenar al aire libre muy amplio que está buenísimo.,Cid Campeador,03-2024,Promotor
42,114432408078,2023-10-09,5,Me gusta,Adrogue,10-2023,Promotor
43,114432313443,2023-10-09,4,"Es un lugar siempre limpio y ordenado, con profesionales de calidad y muy amables. el lugar es grande aunque se llena demasiado en determinados horarios",Almagro,10-2023,Promotor
44,114651664285,2024-07-24,4,"Ahora me mude y voy a Flores, no es una buena sucursal. Excepto EugeCoronel, la profe de Ritmos que es una genia. Despues la disposicion de baños, aire acondicionado que no funciona, la sala es super chica, los despenser de aguas, las maquinas, etc etc.",Caballito,07-2024,Promotor
45,114552966568,2024-03-14,2,Porque nadie controla si estás usando correctamente las máquinas o haciendo bien los ejercicios ,Cid Campeador,03-2024,Detractor
46,114648587625,2024-07-20,5,"Me gustan los aparatos , etc. Es lindo el lugar!",Caballito 2,07-2024,Promotor
48,114555772780,2024-03-18,5,"Excelente la instalación del lugar, todas las maquinas nuevas y excelente atención de los profesores",Lomas,03-2024,Promotor
49,114555420991,2024-03-17,3,Faltan horarios de clases de gimnasio,Cid Campeador,03-2024,Pasivo
52,114436425334,2023-10-13,5,Muy buen lugar y  siempre muy limpio y organizado ,Lomas,10-2023,Promotor
54,114432449344,2023-10-09,4,Tiene todos equipos nuevos ,Abasto,10-2023,Promotor
57,114651734667,2024-07-24,5,"Cantidad de sedes y variedad de clases, abre los feriados. Recomiendo sobre todo las clases de combat de la profe Débora, tiene toda la energía y buena onda.",Caballito,07-2024,Promotor
60,114555933688,2024-03-18,5,"Buen equipamiento, limpieza del lugar , horarios ",Lomas,03-2024,Promotor
63,114651625033,2024-07-24,4,La maquinas son muy buenas y las clases también.  El espacio de musculación es chico y muchas veces hay que esperar para poder utilizar las maquinas.,Cid Campeador,07-2024,Promotor
66,114552279978,2024-03-13,4,Muy buena atencion,Congreso,03-2024,Promotor
68,118427574956,2023-09-26,4,"El gym esta bueno pero creo que le falta agregar algunas cosas como bancos planos e inclinados sueltos, ya que en horas picos se hace dificil poder realizar ciertos ejercicios por falta de material. Imagino que quien no tiene tanta experiencia aun le resulta mas dificil saber que ejercicios pueden sustituirlos. ",Punta Carretas,09-2023,Promotor
69,114432655630,2023-10-09,3,"El horario es muy limitado, está sobre vendido, no se puede hacer ejercicio por lo lleno que está, a las máquinas les falta mantenimiento",Almagro,10-2023,Pasivo
70,118428741182,2023-09-27,5,Por el personal trainer,Punta Carretas,09-2023,Promotor
71,118442713106,2023-10-13,5,es un lugar muy comodo,Congreso,10-2023,Promotor
73,114554701747,2024-03-16,5,"Hace mucho que los conozco y además de tener todo lo necesario para hacer una rutina,todos son muy amables en el trato ",Caballito 2,03-2024,Promotor
74,114650469580,2024-07-23,5,el lugar es buenisimo y los que trabajan ahi tambien.,Lomas,07-2024,Promotor
78,114432403035,2023-10-09,2,Ofrecen menos que otras redes  de gimnasios que tienen el mismo precio o inclusive más barato,Microcentro,10-2023,Detractor
82,114552278463,2024-03-13,5,.,Caballito 2,03-2024,Promotor
85,114433590150,2023-10-10,3,"Me gusta el gimnasio, pero podría aumentarlo con clases de cycle indoor 😁",Abasto,10-2023,Pasivo
89,114436355426,2023-10-13,5,El ambiente es muy tranqui y los profes siempre te ayudan,Caballito,10-2023,Promotor
92,114558191066,2024-03-20,1,"El gymnasio siempre esta colapsado hay 10 personas haciendo fila para utilizar una maquina, no hay un cupo limitado de gente esta explotado siempre no podes realizar un ejercicio tranquilo ya que la gente se choca costantemente.",Barrio Norte,03-2024,Detractor
95,118558258034,2024-03-13,5,"Buenas máquinas, Instalaciones bastante cómodas y buenas , buen mantenimiento (limpieza), personal: entrenadores atentos, personal de ingreso atentos, personal de limpieza bueno etc",Almagro,03-2024,Promotor
97,118649904251,2024-07-17,5,Gimnasio muy completo,Microcentro,07-2024,Promotor
98,118653430102,2024-07-22,4,Faltan más entrenadores para la zona de maquinas,Barrio Norte,07-2024,Promotor
101,114558158887,2024-03-20,5,Estoy muy cómoda y el ambiente es agradable.,Barrio Norte,03-2024,Promotor
103,114553614273,2024-03-15,2,"el personal no es muy bueno 0 atencion 0 preocupacion los entrenadores igual la gente no tiene ganas de cumplir su rol en un mes ninguno me brindo alguna ayuda sucursal lomas digo y la de adrogue lo mismo te apagan la musica los ventiladores y la luz faltando 15 minutos el cierre totalmente irrespetuosos , las maquinas estan buenas lastima el personal completo",Lomas,03-2024,Detractor
105,118443560226,2023-10-14,4,Nadie te molesta,Nuñez,10-2023,Promotor
107,114552321917,2024-03-13,5,Muy buen profesor de gimnasia a las 9 hs  Buenos aparatos y equipos.,Caballito 2,03-2024,Promotor
108,114647388237,2024-07-18,5,"Buenos aparatos de pesas.  Muy buena la clase de imnasia de Javier, los lun, mie y viernes 9,15 hs",Caballito 2,07-2024,Promotor
111,118649696640,2024-07-17,5,Excelente lugar y atención ,Nuñez,07-2024,Promotor
112,114556175621,2024-03-18,3,"Esta es la tercera vez que escribo, y no obtuve ninguna respuesta, ni comentario. Busquen (si es que se fijan en los comentarios) que encontraran lo mío. El estado del display de  las cintas, remo, bicicletas, elípticos es malo.La limpieza deja mucho que desear.",Nuñez,03-2024,Pasivo
113,118443945316,2023-10-15,3,La falta de mantenimiento de varias máquinas y en este momento la limpieza. Se está notando la falta del señor que acompañaba a la sra. de la limpieza. Hacían una dupla muy buena y el gym brillaba. Es un predio muy grande para una mujer sola. Yo voy de mañana temprano y dejaban todo reluciente,Nuñez,10-2023,Pasivo
114,118650097891,2024-07-17,3,"Por falta de mantenimiento en varios aparatos. Sectores muy ocupados por profesores particulares con sus alumnos. Pocas bicicletas en cardio, un sólo remo.",Nuñez,07-2024,Pasivo
118,114552975421,2024-03-14,3,En la sede Nuñez las maquinas son un desastre en su inmensa mayoria. No hay aire acondicionado en el gimnasio. ,Nuñez,03-2024,Pasivo
119,118651069942,2024-07-18,3,Por la carencia de mantenimiento de los equipos,Nuñez,07-2024,Pasivo
121,118443429730,2023-10-14,4,La única queja es el estado de los aparatos,Nuñez,10-2023,Promotor
122,114650717674,2024-07-23,4,"Escuche amigos que no me recomendaban el gimnasio, pero la realidad es que esta bastante bien si no sos tan exigente como en mi caso.",Almagro,07-2024,Promotor
124,118440127006,2023-10-10,5,"Completo, prolijo, amable",Nuñez,10-2023,Promotor
125,118653175676,2024-07-22,5,"Todo bien, limpio y organizado",Nuñez,07-2024,Promotor
